ID,CUSTOMERNAME,PHONE,PRODUCT,TRANSPORTINDUSTRY,PRODUCTCODE,ADDRESSLINE,CITY,COUNTRY,TERRITORY
53,Euro Shopping Channel,(91) 555 94 44,Classic Cars,Land-Based,S10_1949,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
54,Land of Toys Inc.,2125557818,Motorcycles,Land-Based,S10_2016,897 Long Airport Avenue,NYC,USA,NA
55,"Australian Collectors, Co.",03 9520 4555,Motorcycles,Land-Based,S10_2016,636 St Kilda Road,Melbourne,Australia,APAC
56,Lyon Souveniers,+33 1 46 62 7555,Motorcycles,Land-Based,S10_2016,27 rue du Colonel Pierre Avia,Paris,France,EMEA
57,Toys4GrownUps.com,6265557265,Motorcycles,Land-Based,S10_2016,78934 Hillside Dr.,Pasadena,USA,NA
58,Corporate Gift Ideas Co.,6505551386,Motorcycles,Land-Based,S10_2016,7734 Strong St.,San Francisco,USA,NA
59,Technics Stores Inc.,6505556809,Motorcycles,Land-Based,S10_2016,9408 Furth Circle,Burlingame,USA,NA
60,Daedalus Designs Imports,20.16.1555,Motorcycles,Land-Based,S10_2016,"184, chausse de Tournai",Lille,France,EMEA
61,Herkku Gifts,+47 2267 3215,Motorcycles,Land-Based,S10_2016,"Drammen 121, PR 744 Sentrum",Bergen,Norway,EMEA
62,Mini Wheels Co.,6505555787,Motorcycles,Land-Based,S10_2016,5557 North Pendale Street,San Francisco,USA,NA
63,Osaka Souveniers Co.,+81 06 6342 5555,Motorcycles,Land-Based,S10_2016,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Japan,APAC
64,"Australian Collectors, Co.",03 9520 4555,Motorcycles,Land-Based,S10_2016,636 St Kilda Road,Melbourne,Australia,APAC
65,Motor Mint Distributors Inc.,2155559857,Motorcycles,Land-Based,S10_2016,11328 Douglas Av.,Philadelphia,USA,NA
66,Tekni Collectables Inc.,2015559350,Motorcycles,Land-Based,S10_2016,7476 Moss Rd.,Newark,USA,NA
67,Gift Depot Inc.,2035552570,Motorcycles,Land-Based,S10_2016,25593 South Bay Ln.,Bridgewater,USA,NA
68,La Rochelle Gifts,40.67.8555,Motorcycles,Land-Based,S10_2016,"67, rue des Cinquante Otages",Nantes,France,EMEA
69,Marta's Replicas Co.,6175558555,Motorcycles,Land-Based,S10_2016,39323 Spinnaker Dr.,Cambridge,USA,NA
70,Atelier graphique,40.32.2555,Motorcycles,Land-Based,S10_2016,"54, rue Royale",Nantes,France,EMEA
71,Mini Classics,9145554562,Motorcycles,Land-Based,S10_2016,3758 North Pendale Street,White Plains,USA,NA
72,Diecast Classics Inc.,2155551555,Motorcycles,Land-Based,S10_2016,7586 Pompton St.,Allentown,USA,NA
73,Land of Toys Inc.,2125557818,Motorcycles,Land-Based,S10_2016,897 Long Airport Avenue,NYC,USA,NA
74,"Tokyo Collectables, Ltd",+81 3 3584 0555,Motorcycles,Land-Based,S10_2016,2-2-8 Roppongi,Minato-ku,Japan,APAC
75,Souveniers And Things Co.,+61 2 9495 8555,Motorcycles,Land-Based,S10_2016,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,APAC
76,"Australian Gift Network, Co",61-7-3844-6555,Motorcycles,Land-Based,S10_2016,31 Duncan St. West End,South Brisbane,Australia,APAC
77,FunGiftIdeas.com,5085552555,Motorcycles,Land-Based,S10_2016,1785 First Street,New Bedford,USA,NA
78,Auto Canal Petit,(1) 47.55.6555,Motorcycles,Land-Based,S10_2016,"25, rue Lauriston",Paris,France,EMEA
79,Euro Shopping Channel,(91) 555 94 44,Motorcycles,Land-Based,S10_2016,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
80,Land of Toys Inc.,2125557818,Motorcycles,Land-Based,S10_4698,897 Long Airport Avenue,NYC,USA,NA
81,"Australian Collectors, Co.",03 9520 4555,Motorcycles,Land-Based,S10_4698,636 St Kilda Road,Melbourne,Australia,APAC
82,Lyon Souveniers,+33 1 46 62 7555,Motorcycles,Land-Based,S10_4698,27 rue du Colonel Pierre Avia,Paris,France,EMEA
83,Toys4GrownUps.com,6265557265,Motorcycles,Land-Based,S10_4698,78934 Hillside Dr.,Pasadena,USA,NA
84,Corporate Gift Ideas Co.,6505551386,Motorcycles,Land-Based,S10_4698,7734 Strong St.,San Francisco,USA,NA
85,Technics Stores Inc.,6505556809,Motorcycles,Land-Based,S10_4698,9408 Furth Circle,Burlingame,USA,NA
86,Daedalus Designs Imports,20.16.1555,Motorcycles,Land-Based,S10_4698,"184, chausse de Tournai",Lille,France,EMEA
87,Herkku Gifts,+47 2267 3215,Motorcycles,Land-Based,S10_4698,"Drammen 121, PR 744 Sentrum",Bergen,Norway,EMEA
88,Mini Wheels Co.,6505555787,Motorcycles,Land-Based,S10_4698,5557 North Pendale Street,San Francisco,USA,NA
89,Osaka Souveniers Co.,+81 06 6342 5555,Motorcycles,Land-Based,S10_4698,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Japan,APAC
90,"Australian Collectors, Co.",03 9520 4555,Motorcycles,Land-Based,S10_4698,636 St Kilda Road,Melbourne,Australia,APAC
91,Vitachrome Inc.,2125551500,Motorcycles,Land-Based,S10_4698,2678 Kingston Rd.,NYC,USA,NA
92,Tekni Collectables Inc.,2015559350,Motorcycles,Land-Based,S10_4698,7476 Moss Rd.,Newark,USA,NA
93,Gift Depot Inc.,2035552570,Motorcycles,Land-Based,S10_4698,25593 South Bay Ln.,Bridgewater,USA,NA
94,La Rochelle Gifts,40.67.8555,Motorcycles,Land-Based,S10_4698,"67, rue des Cinquante Otages",Nantes,France,EMEA
95,Marta's Replicas Co.,6175558555,Motorcycles,Land-Based,S10_4698,39323 Spinnaker Dr.,Cambridge,USA,NA
96,"Toys of Finland, Co.",90-224 8555,Motorcycles,Land-Based,S10_4698,Keskuskatu 45,Helsinki,Finland,EMEA
97,Mini Classics,9145554562,Motorcycles,Land-Based,S10_4698,3758 North Pendale Street,White Plains,USA,NA
98,Diecast Classics Inc.,2155551555,Motorcycles,Land-Based,S10_4698,7586 Pompton St.,Allentown,USA,NA
99,Land of Toys Inc.,2125557818,Motorcycles,Land-Based,S10_4698,897 Long Airport Avenue,NYC,USA,NA
100,"Tokyo Collectables, Ltd",+81 3 3584 0555,Motorcycles,Land-Based,S10_4698,2-2-8 Roppongi,Minato-ku,Japan,APAC
101,Technics Stores Inc.,6505556809,Motorcycles,Land-Based,S10_4698,9408 Furth Circle,Burlingame,USA,NA
102,"Australian Gift Network, Co",61-7-3844-6555,Motorcycles,Land-Based,S10_4698,31 Duncan St. West End,South Brisbane,Australia,APAC
103,FunGiftIdeas.com,5085552555,Motorcycles,Land-Based,S10_4698,1785 First Street,New Bedford,USA,NA
104,"UK Collectables, Ltd.",(171) 555-2282,Motorcycles,Land-Based,S10_4698,Berkeley Gardens 12  Brewery,Liverpool,UK,EMEA
105,Euro Shopping Channel,(91) 555 94 44,Motorcycles,Land-Based,S10_4698,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
106,Danish Wholesale Imports,31 12 3555,Classic Cars,Land-Based,S10_4757,Vinb'ltet 34,Kobenhavn,Denmark,EMEA
107,Salzburg Collectables,6562-9555,Classic Cars,Land-Based,S10_4757,Geislweg 14,Salzburg,Austria,EMEA
108,"Stylish Desk Decors, Co.",(171) 555-0297,Classic Cars,Land-Based,S10_4757,35 King George,London,UK,EMEA
109,Mini Creations Ltd.,5085559555,Classic Cars,Land-Based,S10_4757,4575 Hillside Dr.,New Bedford,USA,NA
110,"Toys of Finland, Co.",90-224 8555,Classic Cars,Land-Based,S10_4757,Keskuskatu 45,Helsinki,Finland,EMEA
111,Scandinavian Gift Ideas,0695-34 6555,Classic Cars,Land-Based,S10_4757,?kergatan 24,Boras,Sweden,EMEA
112,Alpha Cognac,61.77.6555,Classic Cars,Land-Based,S10_4757,1 rue Alsace-Lorraine,Toulouse,France,EMEA
113,"Double Decker Gift Stores, Ltd",(171) 555-7555,Classic Cars,Land-Based,S10_4757,120 Hanover Sq.,London,UK,EMEA
114,Enaco Distributors,(93) 203 4555,Classic Cars,Land-Based,S10_4757,"Rambla de Catalu�a, 23",Barcelona,Spain,EMEA
115,"Men 'R' US Retailers, Ltd.",2155554369,Classic Cars,Land-Based,S10_4757,6047 Douglas Av.,Los Angeles,USA,NA
116,Collectable Mini Designs Co.,7605558146,Classic Cars,Land-Based,S10_4757,361 Furth Circle,San Diego,USA,NA
117,Land of Toys Inc.,2125557818,Classic Cars,Land-Based,S10_4757,897 Long Airport Avenue,NYC,USA,NA
118,Quebec Home Shopping Network,(514) 555-8054,Classic Cars,Land-Based,S10_4757,43 rue St. Laurent,Montreal,Canada,NA
119,Petit Auto,(02) 5554 67,Classic Cars,Land-Based,S10_4757,Rue Joseph-Bens 532,Bruxelles,Belgium,EMEA
120,"Royal Canadian Collectables, Ltd.",(604) 555-4555,Classic Cars,Land-Based,S10_4757,23 Tsawassen Blvd.,Tsawassen,Canada,NA
121,Gifts4AllAges.com,6175559555,Classic Cars,Land-Based,S10_4757,8616 Spinnaker Dr.,Boston,USA,NA
122,"Classic Gift Ideas, Inc",2155554695,Classic Cars,Land-Based,S10_4757,782 First Street,Philadelphia,USA,NA
123,giftsbymail.co.uk,(198) 555-8888,Classic Cars,Land-Based,S10_4757,Garden House Crowther Way,Cowes,UK,EMEA
124,Baane Mini Imports,07-98 9555,Classic Cars,Land-Based,S10_4757,Erling Skakkes gate 78,Stavern,Norway,EMEA
125,Classic Legends Inc.,2125558493,Classic Cars,Land-Based,S10_4757,5905 Pompton St.,NYC,USA,NA
126,Euro Shopping Channel,(91) 555 94 44,Classic Cars,Land-Based,S10_4757,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
127,Reims Collectables,26.47.1555,Classic Cars,Land-Based,S10_4757,59 rue de l'Abbaye,Reims,France,EMEA
128,"Oulu Toy Supplies, Inc.",981-443655,Classic Cars,Land-Based,S10_4757,Torikatu 38,Oulu,Finland,EMEA
129,Corporate Gift Ideas Co.,6505551386,Classic Cars,Land-Based,S10_4757,7734 Strong St.,San Francisco,USA,NA
130,Lyon Souveniers,+33 1 46 62 7555,Classic Cars,Land-Based,S10_4757,27 rue du Colonel Pierre Avia,Paris,France,EMEA
131,The Sharp Gifts Warehouse,4085553659,Classic Cars,Land-Based,S10_4757,3086 Ingle Ln.,San Jose,USA,NA
132,Gifts4AllAges.com,6175559555,Classic Cars,Land-Based,S10_4757,8616 Spinnaker Dr.,Boston,USA,NA
133,Baane Mini Imports,07-98 9555,Classic Cars,Land-Based,S10_4962,Erling Skakkes gate 78,Stavern,Norway,EMEA
134,"La Corne D'abondance, Co.",(1) 42.34.2555,Classic Cars,Land-Based,S10_4962,"265, boulevard Charonne",Paris,France,EMEA
135,"Corrida Auto Replicas, Ltd",(91) 555 22 82,Classic Cars,Land-Based,S10_4962,"C/ Araquil, 67",Madrid,Spain,EMEA
136,Technics Stores Inc.,6505556809,Classic Cars,Land-Based,S10_4962,9408 Furth Circle,Burlingame,USA,NA
137,"Dragon Souveniers, Ltd.",+65 221 7555,Classic Cars,Land-Based,S10_4962,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore,APAC
138,Mini Auto Werke,7675-3555,Classic Cars,Land-Based,S10_4962,Kirchgasse 6,Graz,Austria,EMEA
139,"Stylish Desk Decors, Co.",(171) 555-0297,Classic Cars,Land-Based,S10_4962,35 King George,London,UK,EMEA
140,"Classic Gift Ideas, Inc",2155554695,Classic Cars,Land-Based,S10_4962,782 First Street,Philadelphia,USA,NA
141,"Saveley & Henriot, Co.",78.32.5555,Classic Cars,Land-Based,S10_4962,"2, rue du Commerce",Lyon,France,EMEA
142,Diecast Collectables,6175552555,Classic Cars,Land-Based,S10_4962,6251 Ingle Ln.,Boston,USA,NA
143,Handji Gifts& Co,+65 224 1555,Classic Cars,Land-Based,S10_4962,Village Close - 106 Linden Road Sandown,Singapore,Singapore,APAC
144,Mini Gifts Distributors Ltd.,4155551450,Classic Cars,Land-Based,S10_4962,5677 Strong St.,San Rafael,USA,NA
145,Super Scale Inc.,2035559545,Classic Cars,Land-Based,S10_4962,567 North Pendale Street,New Haven,USA,NA
146,Handji Gifts& Co,+65 224 1555,Classic Cars,Land-Based,S10_4962,Village Close - 106 Linden Road Sandown,Singapore,Singapore,APAC
147,Souveniers And Things Co.,+61 2 9495 8555,Classic Cars,Land-Based,S10_4962,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,APAC
148,Diecast Classics Inc.,2155551555,Classic Cars,Land-Based,S10_4962,7586 Pompton St.,Allentown,USA,NA
149,Scandinavian Gift Ideas,0695-34 6555,Classic Cars,Land-Based,S10_4962,?kergatan 24,Boras,Sweden,EMEA
150,Marta's Replicas Co.,6175558555,Classic Cars,Land-Based,S10_4962,39323 Spinnaker Dr.,Cambridge,USA,NA
151,Canadian Gift Exchange Network,(604) 555-3392,Classic Cars,Land-Based,S10_4962,1900 Oak St.,Vancouver,Canada,NA
152,Online Diecast Creations Co.,6035558647,Classic Cars,Land-Based,S10_4962,2304 Long Airport Avenue,Nashua,USA,NA
153,"Volvo Model Replicas, Co",0921-12 3555,Classic Cars,Land-Based,S10_4962,Berguvsv�gen  8,Lule,Sweden,EMEA
154,"Australian Collectors, Co.",03 9520 4555,Classic Cars,Land-Based,S10_4962,636 St Kilda Road,Melbourne,Australia,APAC
155,Mini Gifts Distributors Ltd.,4155551450,Classic Cars,Land-Based,S10_4962,5677 Strong St.,San Rafael,USA,NA
156,"Anna's Decorations, Ltd",02 9936 8555,Classic Cars,Land-Based,S10_4962,201 Miller Street,North Sydney,Australia,APAC
157,Corporate Gift Ideas Co.,6505551386,Classic Cars,Land-Based,S10_4962,7734 Strong St.,San Francisco,USA,NA
158,"Anna's Decorations, Ltd",02 9936 8555,Classic Cars,Land-Based,S10_4962,201 Miller Street,North Sydney,Australia,APAC
159,Quebec Home Shopping Network,(514) 555-8054,Classic Cars,Land-Based,S10_4962,43 rue St. Laurent,Montreal,Canada,NA
160,La Rochelle Gifts,40.67.8555,Classic Cars,Land-Based,S10_4962,"67, rue des Cinquante Otages",Nantes,France,EMEA
161,Cruz & Sons Co.,+63 2 555 3587,Classic Cars,Land-Based,S12_1099,15 McCallum Street - NatWest Center #13-03,Makati City,Philippines,APAC
162,Marseille Mini Autos,91.24.4555,Classic Cars,Land-Based,S12_1099,"12, rue des Bouchers",Marseille,France,EMEA
163,Mini Gifts Distributors Ltd.,4155551450,Classic Cars,Land-Based,S12_1099,5677 Strong St.,San Rafael,USA,NA
164,Collectables For Less Inc.,6175558555,Classic Cars,Land-Based,S12_1099,7825 Douglas Av.,Brickhaven,USA,NA
165,Corporate Gift Ideas Co.,6505551386,Classic Cars,Land-Based,S12_1099,7734 Strong St.,San Francisco,USA,NA
166,"Anna's Decorations, Ltd",02 9936 8555,Classic Cars,Land-Based,S12_1099,201 Miller Street,North Sydney,Australia,APAC
167,Herkku Gifts,+47 2267 3215,Classic Cars,Land-Based,S12_1099,"Drammen 121, PR 744 Sentrum",Bergen,Norway,EMEA
168,"Toms Spezialitten, Ltd",0221-5554327,Classic Cars,Land-Based,S12_1099,Mehrheimerstr. 369,Koln,Germany,EMEA
169,Euro Shopping Channel,(91) 555 94 44,Classic Cars,Land-Based,S12_1099,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
170,Auto Canal Petit,(1) 47.55.6555,Classic Cars,Land-Based,S12_1099,"25, rue Lauriston",Paris,France,EMEA
171,"Vida Sport, Ltd",0897-034555,Classic Cars,Land-Based,S12_1099,Grenzacherweg 237,Gensve,Switzerland,EMEA
172,Danish Wholesale Imports,31 12 3555,Classic Cars,Land-Based,S12_1099,Vinb'ltet 34,Kobenhavn,Denmark,EMEA
173,"UK Collectables, Ltd.",(171) 555-2282,Classic Cars,Land-Based,S12_1099,Berkeley Gardens 12  Brewery,Liverpool,UK,EMEA
174,L'ordine Souveniers,0522-556555,Classic Cars,Land-Based,S12_1099,Strada Provinciale 124,Reggio Emilia,Italy,EMEA
175,Online Mini Collectables,6175557555,Classic Cars,Land-Based,S12_1099,7635 Spinnaker Dr.,Brickhaven,USA,NA
176,"Vida Sport, Ltd",0897-034555,Classic Cars,Land-Based,S12_1099,Grenzacherweg 237,Gensve,Switzerland,EMEA
177,"Blauer See Auto, Co.",+49 69 66 90 2555,Classic Cars,Land-Based,S12_1099,Lyonerstr. 34,Frankfurt,Germany,EMEA
178,"Toms Spezialitten, Ltd",0221-5554327,Classic Cars,Land-Based,S12_1099,Mehrheimerstr. 369,Koln,Germany,EMEA
179,"Volvo Model Replicas, Co",0921-12 3555,Classic Cars,Land-Based,S12_1099,Berguvsv�gen  8,Lule,Sweden,EMEA
180,Land of Toys Inc.,2125557818,Classic Cars,Land-Based,S12_1099,897 Long Airport Avenue,NYC,USA,NA
181,Salzburg Collectables,6562-9555,Classic Cars,Land-Based,S12_1099,Geislweg 14,Salzburg,Austria,EMEA
182,Suominen Souveniers,+358 9 8045 555,Classic Cars,Land-Based,S12_1099,"Software Engineering Center, SEC Oy",Espoo,Finland,EMEA
183,La Rochelle Gifts,40.67.8555,Classic Cars,Land-Based,S12_1099,"67, rue des Cinquante Otages",Nantes,France,EMEA
184,Scandinavian Gift Ideas,0695-34 6555,Classic Cars,Land-Based,S12_1099,?kergatan 24,Boras,Sweden,EMEA
185,Salzburg Collectables,6562-9555,Classic Cars,Land-Based,S12_1099,Geislweg 14,Salzburg,Austria,EMEA
186,Danish Wholesale Imports,31 12 3555,Classic Cars,Land-Based,S12_1108,Vinb'ltet 34,Kobenhavn,Denmark,EMEA
187,"Dragon Souveniers, Ltd.",+65 221 7555,Classic Cars,Land-Based,S12_1108,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore,APAC
188,Muscle Machine Inc,2125557413,Classic Cars,Land-Based,S12_1108,4092 Furth Circle,NYC,USA,NA
189,Mini Gifts Distributors Ltd.,4155551450,Classic Cars,Land-Based,S12_1108,5677 Strong St.,San Rafael,USA,NA
190,Euro Shopping Channel,(91) 555 94 44,Classic Cars,Land-Based,S12_1108,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
191,"Dragon Souveniers, Ltd.",+65 221 7555,Classic Cars,Land-Based,S12_1108,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore,APAC
192,L'ordine Souveniers,0522-556555,Classic Cars,Land-Based,S12_1108,Strada Provinciale 124,Reggio Emilia,Italy,EMEA
193,Mini Creations Ltd.,5085559555,Classic Cars,Land-Based,S12_1108,4575 Hillside Dr.,New Bedford,USA,NA
194,Super Scale Inc.,2035559545,Classic Cars,Land-Based,S12_1108,567 North Pendale Street,New Haven,USA,NA
195,"Saveley & Henriot, Co.",78.32.5555,Classic Cars,Land-Based,S12_1108,"2, rue du Commerce",Lyon,France,EMEA
196,"Clover Collections, Co.",+353 1862 1555,Classic Cars,Land-Based,S12_1108,25 Maiden Lane,Dublin,Ireland,EMEA
197,CAF Imports,+34 913 728 555,Classic Cars,Land-Based,S12_1108,"Merchants House, 27-30 Merchant's Quay",Madrid,Spain,EMEA
198,Suominen Souveniers,+358 9 8045 555,Classic Cars,Land-Based,S12_1108,"Software Engineering Center, SEC Oy",Espoo,Finland,EMEA
199,Diecast Classics Inc.,2155551555,Classic Cars,Land-Based,S12_1108,7586 Pompton St.,Allentown,USA,NA
200,Mini Gifts Distributors Ltd.,4155551450,Classic Cars,Land-Based,S12_1108,5677 Strong St.,San Rafael,USA,NA
201,Amica Models & Co.,011-4988555,Classic Cars,Land-Based,S12_1108,Via Monte Bianco 34,Torino,Italy,EMEA
202,"AV Stores, Co.",(171) 555-1555,Classic Cars,Land-Based,S12_1108,Fauntleroy Circus,Manchester,UK,EMEA
203,Heintze Collectables,86 21 3555,Classic Cars,Land-Based,S12_1108,Smagsloget 45,Aaarhus,Denmark,EMEA
204,Baane Mini Imports,07-98 9555,Classic Cars,Land-Based,S12_1108,Erling Skakkes gate 78,Stavern,Norway,EMEA
205,"La Corne D'abondance, Co.",(1) 42.34.2555,Classic Cars,Land-Based,S12_1108,"265, boulevard Charonne",Paris,France,EMEA
206,"Corrida Auto Replicas, Ltd",(91) 555 22 82,Classic Cars,Land-Based,S12_1108,"C/ Araquil, 67",Madrid,Spain,EMEA
207,Reims Collectables,26.47.1555,Classic Cars,Land-Based,S12_1108,59 rue de l'Abbaye,Reims,France,EMEA
208,Mini Gifts Distributors Ltd.,4155551450,Classic Cars,Land-Based,S12_1108,5677 Strong St.,San Rafael,USA,NA
209,Mini Gifts Distributors Ltd.,4155551450,Classic Cars,Land-Based,S12_1108,5677 Strong St.,San Rafael,USA,NA
