ID,PRODUCT,PRICEEACH,QUANTITYORDERED,SALES,STATUS,ORDERNUMBER,PRODUCTCODE,MONTH_ID,QTR_ID,YEAR_ID
36,Classic Cars,100.0,35,6075.3,Shipped,10215,S10_1949,1,1,2004
37,Classic Cars,100.0,29,6463.23,Shipped,10228,S10_1949,3,1,2004
38,Classic Cars,100.0,34,6120.34,Shipped,10245,S10_1949,5,2,2004
39,Classic Cars,100.0,32,7680.64,Shipped,10258,S10_1949,6,2,2004
40,Classic Cars,100.0,21,4905.39,Shipped,10270,S10_1949,7,3,2004
41,Classic Cars,100.0,34,8014.82,Shipped,10280,S10_1949,8,3,2004
42,Classic Cars,100.0,37,7136.19,Shipped,10291,S10_1949,9,3,2004
43,Classic Cars,100.0,47,10172.7,Shipped,10304,S10_1949,10,4,2004
44,Classic Cars,100.0,48,11623.7,Shipped,10312,S10_1949,10,4,2004
45,Classic Cars,100.0,40,6000.4,Shipped,10322,S10_1949,11,4,2004
46,Classic Cars,100.0,26,3003.0,Shipped,10333,S10_1949,11,4,2004
47,Classic Cars,100.0,30,3944.7,Shipped,10347,S10_1949,11,4,2004
48,Classic Cars,100.0,32,5691.84,Shipped,10357,S10_1949,12,4,2004
49,Classic Cars,100.0,41,4514.92,Shipped,10369,S10_1949,1,1,2005
50,Classic Cars,100.0,36,8254.8,Shipped,10381,S10_1949,2,1,2005
51,Classic Cars,100.0,24,2416.56,Shipped,10391,S10_1949,3,1,2005
52,Classic Cars,100.0,23,4140.23,Shipped,10411,S10_1949,5,2,2005
53,Classic Cars,100.0,50,12001.0,In Process,10424,S10_1949,5,2,2005
54,Motorcycles,99.91,39,3896.49,Shipped,10107,S10_2016,2,1,2003
55,Motorcycles,96.34,29,2793.86,Shipped,10120,S10_2016,4,2,2003
56,Motorcycles,100.0,27,3307.77,Shipped,10134,S10_2016,7,3,2003
57,Motorcycles,100.0,37,5192.95,Shipped,10145,S10_2016,8,3,2003
58,Motorcycles,100.0,37,5016.83,Shipped,10159,S10_2016,10,4,2003
59,Motorcycles,100.0,27,3660.93,Shipped,10168,S10_2016,10,4,2003
60,Motorcycles,100.0,42,4695.6,Shipped,10180,S10_2016,11,4,2003
61,Motorcycles,96.34,38,3660.92,Shipped,10188,S10_2016,11,4,2003
62,Motorcycles,100.0,24,3025.92,Shipped,10201,S10_2016,12,4,2003
63,Motorcycles,100.0,23,3009.09,Shipped,10210,S10_2016,1,1,2004
64,Motorcycles,100.0,47,5422.39,Shipped,10223,S10_2016,2,1,2004
65,Motorcycles,100.0,22,2852.08,Shipped,10236,S10_2016,4,2,2004
66,Motorcycles,100.0,44,5756.52,Shipped,10251,S10_2016,5,2,2004
67,Motorcycles,100.0,40,4472.0,Shipped,10263,S10_2016,6,2,2004
68,Motorcycles,100.0,22,2904.44,Shipped,10275,S10_2016,7,3,2004
69,Motorcycles,100.0,47,6484.59,Shipped,10285,S10_2016,8,3,2004
70,Motorcycles,96.34,39,3757.26,Shipped,10298,S10_2016,9,3,2004
71,Motorcycles,100.0,34,4043.96,Shipped,10308,S10_2016,10,4,2004
72,Motorcycles,100.0,45,5566.5,Shipped,10318,S10_2016,11,4,2004
73,Motorcycles,100.0,20,3176.0,Shipped,10329,S10_2016,11,4,2004
74,Motorcycles,68.92,40,2756.8,Shipped,10339,S10_2016,11,4,2004
75,Motorcycles,51.15,26,1329.9,Shipped,10361,S10_2016,12,4,2004
76,Motorcycles,100.0,39,5288.01,Shipped,10374,S10_2016,2,1,2005
77,Motorcycles,44.51,50,2225.5,Shipped,10388,S10_2016,3,1,2005
78,Motorcycles,100.0,45,5833.8,Shipped,10402,S10_2016,4,2,2005
79,Motorcycles,100.0,45,5887.35,Disputed,10417,S10_2016,5,2,2005
80,Motorcycles,100.0,27,6065.55,Shipped,10107,S10_4698,2,1,2003
81,Motorcycles,100.0,46,9264.86,Shipped,10120,S10_4698,4,2,2003
82,Motorcycles,100.0,31,7023.98,Shipped,10134,S10_4698,7,3,2003
83,Motorcycles,100.0,33,5176.38,Shipped,10145,S10_4698,8,3,2003
84,Motorcycles,100.0,22,4132.7,Shipped,10159,S10_4698,10,4,2003
85,Motorcycles,100.0,20,4183.0,Shipped,10168,S10_4698,10,4,2003
86,Motorcycles,100.0,41,8892.9,Shipped,10180,S10_4698,11,4,2003
87,Motorcycles,100.0,45,8714.7,Shipped,10188,S10_4698,11,4,2003
88,Motorcycles,100.0,49,8065.89,Shipped,10201,S10_4698,12,4,2003
89,Motorcycles,100.0,34,6123.4,Shipped,10210,S10_4698,1,1,2004
90,Motorcycles,100.0,49,9774.03,Shipped,10223,S10_4698,2,1,2004
91,Motorcycles,100.0,39,7023.9,Shipped,10237,S10_4698,4,2,2004
92,Motorcycles,100.0,43,7078.23,Shipped,10251,S10_4698,5,2,2004
93,Motorcycles,100.0,41,8336.94,Shipped,10263,S10_4698,6,2,2004
94,Motorcycles,100.0,36,6901.92,Shipped,10275,S10_4698,7,3,2004
95,Motorcycles,100.0,27,5438.07,Shipped,10285,S10_4698,8,3,2004
96,Motorcycles,100.0,29,6683.34,Shipped,10299,S10_4698,9,3,2004
97,Motorcycles,100.0,20,4570.4,Shipped,10308,S10_4698,10,4,2004
98,Motorcycles,100.0,37,7667.14,Shipped,10318,S10_4698,11,4,2004
99,Motorcycles,100.0,26,5868.2,Shipped,10329,S10_4698,11,4,2004
100,Motorcycles,76.67,39,2990.13,Shipped,10339,S10_4698,11,4,2004
101,Motorcycles,100.0,22,3664.1,Shipped,10362,S10_4698,1,1,2005
102,Motorcycles,100.0,22,3834.38,Shipped,10374,S10_4698,2,1,2005
103,Motorcycles,86.77,21,1822.17,Shipped,10388,S10_4698,3,1,2005
104,Motorcycles,100.0,66,11886.6,Shipped,10403,S10_4698,4,2,2005
105,Motorcycles,100.0,56,9218.16,Disputed,10417,S10_4698,5,2,2005
106,Classic Cars,100.0,50,7208.0,Shipped,10105,S10_4757,2,1,2003
107,Classic Cars,100.0,46,5004.8,Shipped,10119,S10_4757,4,2,2003
108,Classic Cars,100.0,33,4398.24,Shipped,10129,S10_4757,6,2,2003
109,Classic Cars,100.0,49,5597.76,Shipped,10143,S10_4757,8,3,2003
110,Classic Cars,100.0,32,4526.08,Shipped,10155,S10_4757,10,4,2003
111,Classic Cars,100.0,44,5924.16,Cancelled,10167,S10_4757,10,4,2003
112,Classic Cars,100.0,24,3492.48,Shipped,10178,S10_4757,11,4,2003
113,Classic Cars,100.0,26,3854.24,Shipped,10186,S10_4757,11,4,2003
114,Classic Cars,100.0,45,5324.4,Shipped,10197,S10_4757,11,4,2003
115,Classic Cars,100.0,39,5197.92,Shipped,10209,S10_4757,1,1,2004
116,Classic Cars,100.0,49,5997.6,Shipped,10222,S10_4757,2,1,2004
117,Classic Cars,100.0,20,2910.4,Cancelled,10248,S10_4757,5,2,2004
118,Classic Cars,100.0,27,3378.24,Shipped,10261,S10_4757,6,2,2004
119,Classic Cars,100.0,30,3508.8,Shipped,10273,S10_4757,7,3,2004
120,Classic Cars,100.0,25,2992.0,Shipped,10283,S10_4757,8,3,2004
121,Classic Cars,100.0,24,3427.2,Shipped,10295,S10_4757,9,3,2004
122,Classic Cars,100.0,22,2692.8,Shipped,10307,S10_4757,10,4,2004
123,Classic Cars,100.0,33,4128.96,Shipped,10316,S10_4757,11,4,2004
124,Classic Cars,64.93,47,3051.71,Shipped,10325,S10_4757,11,4,2004
125,Classic Cars,48.05,25,1201.25,Shipped,10337,S10_4757,11,4,2004
126,Classic Cars,75.47,26,1962.22,Shipped,10350,S10_4757,12,4,2004
127,Classic Cars,54.68,48,2624.64,Shipped,10359,S10_4757,12,4,2004
128,Classic Cars,100.0,39,4046.25,Shipped,10373,S10_4757,1,1,2005
129,Classic Cars,100.0,34,4846.7,Shipped,10384,S10_4757,2,1,2005
130,Classic Cars,100.0,32,3370.56,Shipped,10395,S10_4757,3,1,2005
131,Classic Cars,100.0,64,9661.44,Shipped,10400,S10_4757,4,2,2005
132,Classic Cars,100.0,19,2764.88,On Hold,10414,S10_4757,5,2,2005
133,Classic Cars,100.0,42,5398.26,Shipped,10103,S10_4962,1,1,2003
134,Classic Cars,100.0,31,4305.28,Shipped,10114,S10_4962,4,2,2003
135,Classic Cars,100.0,22,3347.74,Shipped,10126,S10_4962,5,2,2003
136,Classic Cars,100.0,26,3188.12,Shipped,10140,S10_4962,7,3,2003
137,Classic Cars,100.0,20,3191.2,Shipped,10150,S10_4962,9,3,2003
138,Classic Cars,100.0,21,3536.82,Resolved,10164,S10_4962,10,4,2003
139,Classic Cars,100.0,33,5362.83,Shipped,10175,S10_4962,11,4,2003
140,Classic Cars,100.0,28,3433.36,Shipped,10183,S10_4962,11,4,2003
141,Classic Cars,100.0,26,4263.74,Shipped,10194,S10_4962,11,4,2003
142,Classic Cars,100.0,31,4076.19,Shipped,10207,S10_4962,12,4,2003
143,Classic Cars,100.0,48,7020.48,Shipped,10217,S10_4962,2,1,2004
144,Classic Cars,100.0,50,6426.5,Shipped,10229,S10_4962,3,1,2004
145,Classic Cars,100.0,28,4591.72,Shipped,10245,S10_4962,5,2,2004
146,Classic Cars,100.0,26,4033.38,Shipped,10259,S10_4962,6,2,2004
147,Classic Cars,100.0,32,4302.08,Shipped,10270,S10_4962,7,3,2004
148,Classic Cars,100.0,44,7020.64,Shipped,10281,S10_4962,8,3,2004
149,Classic Cars,100.0,30,3855.9,Shipped,10291,S10_4962,9,3,2004
150,Classic Cars,100.0,38,6680.78,Shipped,10305,S10_4962,10,4,2004
151,Classic Cars,100.0,40,6678.0,Shipped,10313,S10_4962,10,4,2004
152,Classic Cars,61.99,46,2851.54,Shipped,10322,S10_4962,11,4,2004
153,Classic Cars,100.0,26,3188.12,On Hold,10334,S10_4962,11,4,2004
154,Classic Cars,100.0,27,4428.0,Shipped,10347,S10_4962,11,4,2004
155,Classic Cars,100.0,43,5780.92,Shipped,10357,S10_4962,12,4,2004
156,Classic Cars,65.63,35,2297.05,Shipped,10370,S10_4962,1,1,2005
157,Classic Cars,100.0,37,6231.54,Shipped,10381,S10_4962,2,1,2005
158,Classic Cars,46.9,37,1735.3,Shipped,10391,S10_4962,3,1,2005
159,Classic Cars,100.0,27,4427.73,Shipped,10411,S10_4962,5,2,2005
160,Classic Cars,100.0,38,5894.94,In Process,10425,S10_4962,5,2,2005
161,Classic Cars,100.0,33,5265.15,Shipped,10108,S12_1099,3,1,2003
162,Classic Cars,100.0,42,7599.9,Shipped,10122,S12_1099,5,2,2003
163,Classic Cars,100.0,42,8008.56,Shipped,10135,S12_1099,7,3,2003
164,Classic Cars,100.0,48,9245.76,Shipped,10147,S12_1099,9,3,2003
165,Classic Cars,100.0,41,8296.35,Shipped,10159,S12_1099,10,4,2003
166,Classic Cars,100.0,30,5019.9,Shipped,10169,S12_1099,11,4,2003
167,Classic Cars,100.0,27,5411.07,Shipped,10181,S12_1099,11,4,2003
168,Classic Cars,100.0,21,3840.9,Shipped,10191,S12_1099,11,4,2003
169,Classic Cars,100.0,20,3930.4,Shipped,10203,S12_1099,12,4,2003
170,Classic Cars,100.0,41,7498.9,Shipped,10211,S12_1099,1,1,2004
171,Classic Cars,100.0,27,4517.91,Shipped,10225,S12_1099,2,1,2004
172,Classic Cars,100.0,28,5774.72,Shipped,10238,S12_1099,4,2,2004
173,Classic Cars,100.0,24,3922.56,Cancelled,10253,S12_1099,6,2,2004
174,Classic Cars,100.0,44,9160.36,Shipped,10266,S12_1099,7,3,2004
175,Classic Cars,100.0,50,9631.0,Shipped,10276,S12_1099,8,3,2004
176,Classic Cars,100.0,21,3432.24,Shipped,10287,S12_1099,8,3,2004
177,Classic Cars,100.0,33,5521.89,Shipped,10300,S12_1099,10,4,2003
178,Classic Cars,100.0,33,6934.62,Shipped,10310,S12_1099,10,4,2004
179,Classic Cars,100.0,31,6876.11,Shipped,10320,S12_1099,11,4,2004
180,Classic Cars,71.47,41,2930.27,Shipped,10329,S12_1099,11,4,2004
181,Classic Cars,79.65,45,3584.25,Shipped,10341,S12_1099,11,4,2004
182,Classic Cars,85.39,33,2817.87,Shipped,10363,S12_1099,1,1,2005
183,Classic Cars,76.0,45,3420.0,Shipped,10375,S12_1099,2,1,2005
184,Classic Cars,99.04,26,2575.04,Shipped,10389,S12_1099,3,1,2005
185,Classic Cars,100.0,12,1961.28,Shipped,10419,S12_1099,5,2,2005
186,Classic Cars,100.0,41,8690.36,Shipped,10105,S12_1108,2,1,2003
187,Classic Cars,100.0,33,6034.38,Shipped,10117,S12_1108,4,2,2003
188,Classic Cars,100.0,46,11279.2,Shipped,10127,S12_1108,6,2,2003
189,Classic Cars,100.0,33,8023.29,Shipped,10142,S12_1108,8,3,2003
190,Classic Cars,100.0,20,4904.0,Shipped,10153,S12_1108,9,3,2003
191,Classic Cars,100.0,44,8594.52,Shipped,10165,S12_1108,10,4,2003
192,Classic Cars,100.0,33,7474.5,Shipped,10176,S12_1108,11,4,2003
193,Classic Cars,100.0,21,3883.74,Shipped,10185,S12_1108,11,4,2003
194,Classic Cars,100.0,47,8887.7,Shipped,10196,S12_1108,11,4,2003
195,Classic Cars,100.0,46,8602.92,Shipped,10208,S12_1108,1,1,2004
196,Classic Cars,100.0,32,7181.44,Shipped,10220,S12_1108,2,1,2004
197,Classic Cars,100.0,42,8378.58,Shipped,10231,S12_1108,3,1,2004
198,Classic Cars,100.0,44,10606.2,Shipped,10247,S12_1108,5,2,2004
199,Classic Cars,100.0,35,5818.4,Shipped,10272,S12_1108,7,3,2004
200,Classic Cars,100.0,41,7071.27,Shipped,10282,S12_1108,8,3,2004
201,Classic Cars,100.0,46,8411.56,Shipped,10293,S12_1108,9,3,2004
202,Classic Cars,100.0,31,6570.76,Shipped,10306,S12_1108,10,4,2004
203,Classic Cars,100.0,38,7975.44,Shipped,10314,S12_1108,10,4,2004
204,Classic Cars,64.0,42,2688.0,Shipped,10325,S12_1108,11,4,2004
205,Classic Cars,57.22,33,1888.26,Shipped,10336,S12_1108,11,4,2004
206,Classic Cars,52.36,48,2513.28,Shipped,10348,S12_1108,11,4,2004
207,Classic Cars,100.0,42,4764.48,Shipped,10359,S12_1108,12,4,2004
208,Classic Cars,100.0,32,3560.64,Shipped,10371,S12_1108,1,1,2005
209,Classic Cars,100.0,34,3823.64,Shipped,10382,S12_1108,2,1,2005
210,Classic Cars,69.12,33,2280.96,Shipped,10395,S12_1108,3,1,2005
211,Classic Cars,100.0,36,8677.8,Shipped,10413,S12_1108,5,2,2005
212,Trucks and Buses,100.0,27,3394.98,Shipped,10103,S12_1666,1,1,2003
213,Trucks and Buses,100.0,21,3415.44,Shipped,10113,S12_1666,3,1,2003
214,Trucks and Buses,100.0,21,2439.57,Shipped,10126,S12_1666,5,2,2003
215,Trucks and Buses,100.0,38,4829.8,Shipped,10140,S12_1666,7,3,2003
216,Trucks and Buses,100.0,30,4100.1,Shipped,10150,S12_1666,9,3,2003
217,Trucks and Buses,100.0,49,6563.06,Resolved,10164,S12_1666,10,4,2003
218,Trucks and Buses,100.0,43,6817.22,Shipped,10174,S12_1666,11,4,2003
219,Trucks and Buses,100.0,41,6163.94,Shipped,10183,S12_1666,11,4,2003
220,Trucks and Buses,100.0,38,4933.92,Shipped,10194,S12_1666,11,4,2003
221,Trucks and Buses,100.0,28,4056.36,Shipped,10206,S12_1666,12,4,2003
222,Trucks and Buses,100.0,43,5759.42,Shipped,10216,S12_1666,2,1,2004
223,Trucks and Buses,100.0,25,3451.0,Shipped,10229,S12_1666,3,1,2004
224,Trucks and Buses,100.0,38,5920.4,Shipped,10245,S12_1666,5,2,2004
225,Trucks and Buses,100.0,41,6668.24,Shipped,10258,S12_1666,6,2,2004
226,Trucks and Buses,100.0,28,4094.72,Shipped,10270,S12_1666,7,3,2004
227,Trucks and Buses,100.0,25,2938.5,Shipped,10281,S12_1666,8,3,2004
228,Trucks and Buses,100.0,41,6387.8,Shipped,10291,S12_1666,9,3,2004
229,Trucks and Buses,100.0,39,6396.0,Shipped,10304,S12_1666,10,4,2004
230,Trucks and Buses,100.0,21,2669.1,Shipped,10313,S12_1666,10,4,2004
231,Trucks and Buses,100.0,27,4784.13,Shipped,10322,S12_1666,11,4,2004
232,Trucks and Buses,99.21,33,3273.93,Shipped,10333,S12_1666,11,4,2004
233,Trucks and Buses,100.0,29,3586.43,Shipped,10347,S12_1666,11,4,2004
234,Trucks and Buses,100.0,49,5960.36,Shipped,10357,S12_1666,12,4,2004
235,Trucks and Buses,100.0,49,8470.14,Shipped,10370,S12_1666,1,1,2005
236,Trucks and Buses,100.0,20,2952.0,Shipped,10381,S12_1666,2,1,2005
237,Trucks and Buses,63.2,39,2464.8,Shipped,10391,S12_1666,3,1,2005
238,Trucks and Buses,100.0,40,6232.0,Shipped,10411,S12_1666,5,2,2005
239,Trucks and Buses,100.0,49,7969.36,In Process,10424,S12_1666,5,2,2005
240,Motorcycles,100.0,21,3036.6,Shipped,10107,S12_2823,2,1,2003
241,Motorcycles,100.0,50,8284.0,Shipped,10121,S12_2823,5,2,2003
242,Motorcycles,100.0,20,2711.2,Shipped,10134,S12_2823,7,3,2003
243,Motorcycles,100.0,49,8339.8,Shipped,10145,S12_2823,8,3,2003
244,Motorcycles,100.0,38,6238.84,Shipped,10159,S12_2823,10,4,2003
245,Motorcycles,100.0,35,4639.25,Shipped,10169,S12_2823,11,4,2003
246,Motorcycles,100.0,40,6747.6,Shipped,10180,S12_2823,11,4,2003
247,Motorcycles,100.0,28,4512.48,Shipped,10189,S12_2823,11,4,2003
248,Motorcycles,100.0,25,4029.0,Shipped,10201,S12_2823,12,4,2003
249,Motorcycles,100.0,36,4771.8,Shipped,10211,S12_2823,1,1,2004
250,Motorcycles,100.0,43,6087.94,Shipped,10224,S12_2823,2,1,2004
251,Motorcycles,100.0,32,4193.28,Shipped,10237,S12_2823,4,2,2004
252,Motorcycles,100.0,46,7552.28,Shipped,10251,S12_2823,5,2,2004
253,Motorcycles,100.0,48,6434.4,Shipped,10263,S12_2823,6,2,2004
254,Motorcycles,100.0,43,5181.5,Shipped,10276,S12_2823,8,3,2004
255,Motorcycles,100.0,49,6863.92,Shipped,10285,S12_2823,8,3,2004
256,Motorcycles,100.0,24,4157.04,Shipped,10299,S12_2823,9,3,2004
257,Motorcycles,100.0,26,4660.24,Shipped,10309,S12_2823,10,4,2004
258,Motorcycles,100.0,30,4111.8,Shipped,10319,S12_2823,11,4,2004
259,Motorcycles,100.0,24,3542.64,Shipped,10329,S12_2823,11,4,2004
260,Motorcycles,100.0,55,8118.55,Shipped,10341,S12_2823,11,4,2004
261,Motorcycles,100.0,22,3877.06,Shipped,10362,S12_2823,1,1,2005
262,Motorcycles,78.92,49,3867.08,Shipped,10375,S12_2823,2,1,2005
263,Motorcycles,100.0,44,5951.44,Shipped,10388,S12_2823,3,1,2005
264,Motorcycles,100.0,66,8648.64,Shipped,10403,S12_2823,4,2,2005
265,Motorcycles,100.0,21,3447.78,Disputed,10417,S12_2823,5,2,2005
266,Classic Cars,100.0,34,5958.5,Shipped,10104,S12_3148,1,1,2003
267,Classic Cars,100.0,43,5911.64,Shipped,10117,S12_3148,4,2,2003
268,Classic Cars,100.0,46,7366.44,Shipped,10127,S12_3148,6,2,2003
269,Classic Cars,100.0,33,4985.64,Shipped,10142,S12_3148,8,3,2003
270,Classic Cars,100.0,42,5393.64,Shipped,10153,S12_3148,9,3,2003
271,Classic Cars,100.0,34,4880.02,Shipped,10165,S12_3148,10,4,2003
272,Classic Cars,100.0,47,8378.69,Shipped,10176,S12_3148,11,4,2003
273,Classic Cars,100.0,33,4038.21,Shipped,10185,S12_3148,11,4,2003
274,Classic Cars,100.0,24,3807.12,Shipped,10196,S12_3148,11,4,2003
275,Classic Cars,100.0,26,3142.36,Shipped,10208,S12_3148,1,1,2004
276,Classic Cars,100.0,30,4713.6,Shipped,10220,S12_3148,2,1,2004
277,Classic Cars,100.0,43,7016.31,Shipped,10230,S12_3148,3,1,2004
278,Classic Cars,100.0,25,4381.25,Shipped,10247,S12_3148,5,2,2004
279,Classic Cars,100.0,27,4283.01,Shipped,10272,S12_3148,7,3,2004
280,Classic Cars,100.0,27,4364.82,Shipped,10282,S12_3148,8,3,2004
281,Classic Cars,100.0,24,4242.24,Shipped,10293,S12_3148,9,3,2004
282,Classic Cars,100.0,34,4982.7,Shipped,10306,S12_3148,10,4,2004
283,Classic Cars,100.0,46,6393.54,Shipped,10314,S12_3148,10,4,2004
284,Classic Cars,54.33,27,1466.91,Shipped,10324,S12_3148,11,4,2004
285,Classic Cars,100.0,33,4059.33,Shipped,10336,S12_3148,11,4,2004
286,Classic Cars,100.0,47,4801.52,Shipped,10348,S12_3148,11,4,2004
287,Classic Cars,55.34,49,2711.66,Shipped,10358,S12_3148,12,4,2004
288,Classic Cars,100.0,40,5862.0,Shipped,10372,S12_3148,1,1,2005
289,Classic Cars,100.0,37,4071.85,Shipped,10382,S12_3148,2,1,2005
290,Classic Cars,100.0,47,8236.75,Shipped,10413,S12_3148,5,2,2005
291,Classic Cars,100.0,45,6130.35,Shipped,10108,S12_3380,3,1,2003
292,Classic Cars,99.82,37,3693.34,Shipped,10122,S12_3380,5,2,2003
293,Classic Cars,100.0,48,6031.68,Shipped,10135,S12_3380,7,3,2003
294,Classic Cars,100.0,31,3494.94,Shipped,10147,S12_3380,9,3,2003
295,Classic Cars,100.0,46,5294.14,Shipped,10160,S12_3380,10,4,2003
296,Classic Cars,100.0,47,5464.69,Shipped,10170,S12_3380,11,4,2003
297,Classic Cars,100.0,28,2860.76,Shipped,10181,S12_3380,11,4,2003
298,Classic Cars,100.0,40,5590.0,Shipped,10191,S12_3380,11,4,2003
299,Classic Cars,100.0,20,2254.8,Shipped,10203,S12_3380,12,4,2003
300,Classic Cars,100.0,39,4946.76,Shipped,10212,S12_3380,1,1,2004
301,Classic Cars,99.82,25,2495.5,Shipped,10225,S12_3380,2,1,2004
302,Classic Cars,100.0,29,3167.38,Shipped,10238,S12_3380,4,2,2004
303,Classic Cars,100.0,22,2402.84,Cancelled,10253,S12_3380,6,2,2004
304,Classic Cars,100.0,22,2454.54,Shipped,10266,S12_3380,7,3,2004
305,Classic Cars,100.0,47,5464.69,Shipped,10276,S12_3380,8,3,2004
306,Classic Cars,100.0,45,4756.5,Shipped,10287,S12_3380,8,3,2004
307,Classic Cars,100.0,29,3984.6,Shipped,10300,S12_3380,10,4,2003
308,Classic Cars,100.0,24,3100.32,Shipped,10310,S12_3380,10,4,2004
309,Classic Cars,100.0,35,4850.3,Shipped,10320,S12_3380,11,4,2004
310,Classic Cars,83.63,46,3846.98,Shipped,10329,S12_3380,11,4,2004
311,Classic Cars,95.93,44,4220.92,Shipped,10341,S12_3380,11,4,2004
312,Classic Cars,96.73,34,3288.82,Shipped,10363,S12_3380,1,1,2005
313,Classic Cars,100.0,35,3987.2,Shipped,10376,S12_3380,2,1,2005
314,Classic Cars,72.38,25,1809.5,Shipped,10389,S12_3380,3,1,2005
315,Classic Cars,100.0,10,1092.2,Shipped,10419,S12_3380,5,2,2005
316,Classic Cars,100.0,29,4566.05,Shipped,10105,S12_3891,2,1,2003
317,Classic Cars,100.0,39,5938.14,Shipped,10117,S12_3891,4,2,2003
318,Classic Cars,100.0,42,8138.76,Shipped,10127,S12_3891,6,2,2003
319,Classic Cars,100.0,46,9470.94,Shipped,10142,S12_3891,8,3,2003
320,Classic Cars,100.0,49,7036.89,Shipped,10153,S12_3891,9,3,2003
321,Classic Cars,100.0,27,5559.03,Shipped,10165,S12_3891,10,4,2003
322,Classic Cars,100.0,50,7872.5,Shipped,10176,S12_3891,11,4,2003
323,Classic Cars,100.0,43,7886.2,Shipped,10185,S12_3891,11,4,2003
324,Classic Cars,100.0,38,7232.16,Shipped,10196,S12_3891,11,4,2003
325,Classic Cars,100.0,20,3114.4,Shipped,10208,S12_3891,1,1,2004
326,Classic Cars,100.0,27,5045.22,Shipped,10220,S12_3891,2,1,2004
327,Classic Cars,100.0,49,6952.12,Shipped,10231,S12_3891,3,1,2004
328,Classic Cars,100.0,27,4157.73,Shipped,10247,S12_3891,5,2,2004
329,Classic Cars,100.0,39,7962.24,Shipped,10272,S12_3891,7,3,2004
330,Classic Cars,100.0,24,3778.8,Shipped,10282,S12_3891,8,3,2004
331,Classic Cars,100.0,45,8253.0,Shipped,10293,S12_3891,9,3,2004
332,Classic Cars,100.0,20,3633.4,Shipped,10306,S12_3891,10,4,2004
333,Classic Cars,100.0,36,6913.8,Shipped,10314,S12_3891,10,4,2004
334,Classic Cars,100.0,24,2583.6,Shipped,10325,S12_3891,11,4,2004
335,Classic Cars,63.38,49,3105.62,Shipped,10336,S12_3891,11,4,2004
